Grupo de idade;População feminina(pessoas);População masculina(pessoas);Unidade da Federação;;
100 anos ou mais;3956;1139;Total;São Paulo;
95 a 99 anos;25635;9237;Total;São Paulo;
90 a 94 anos;93907;41900;Total;São Paulo;
85 a 89 anos;203595;110144;Total;São Paulo;
80 a 84 anos;351593;226250;Total;São Paulo;
75 a 79 anos;533810;379387;Total;São Paulo;
70 a 74 anos;795497;608455;Total;São Paulo;
65 a 69 anos;1054437;846244;Total;São Paulo;
60 a 64 anos;1294948;1070434;Total;São Paulo;
55 a 59 anos;1433780;1233497;Total;São Paulo;
50 a 54 anos;1534930;1375110;Total;São Paulo;
45 a 49 anos;1639164;1487081;Total;São Paulo;
40 a 44 anos;1902856;1764496;Total;São Paulo;
35 a 39 anos;1873165;1763514;Total;São Paulo;
30 a 34 anos;1730527;1672739;Total;São Paulo;
25 a 29 anos;1655473;1650670;Total;São Paulo;
20 a 24 anos;1584091;1626745;Total;São Paulo;
15 a 19 anos;1396816;1460853;Total;São Paulo;
10 a 14 anos;1334980;1397236;Total;São Paulo;
5 a 9 anos;1360130;1415247;Total;São Paulo;
0 a 4 anos;1211572;1255998;Total;São Paulo;
